Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2025-06-30,205.17,207.39,199.25999,202.00999,91912800,57.13190184049081,200.6570005,202.840201,0,Sell
2025-07-01,207.82001,210.19,206.14,206.67,78788900,59.36024741539537,200.963001,203.0570012,0,Sell
2025-07-02,212.44,213.34,208.14,208.91,67941800,74.18555240793202,201.421501,203.4426012,0,Sell
2025-07-03,213.55,214.64999,211.81,212.14999,34955800,74.80124438299347,201.9580005,203.718801,0,Sell
2025-07-07,209.95,216.23,208.8,212.67999,50229000,72.66621893888514,202.4240005,203.8258008,0,Sell
2025-07-08,210.00999,211.42999,208.45,210.10001,42848900,70.7929568686605,202.7285,203.8586006,0,Sell
2025-07-09,211.14,211.33,207.22,209.53,48749400,79.55758962623948,203.213,203.8958006,0,Sell
2025-07-10,212.41,213.48,210.03,210.50999,44443600,79.81167608286248,203.7,203.9412006,0,Sell
2025-07-11,211.16,212.13,209.86,210.57001,39765800,71.72797262617618,204.319,203.9402004,0,Sell
2025-07-14,208.62,210.91,207.53999,209.92999,38840100,64.00472069236821,204.79,203.8626004,0,Sell
2025-07-15,209.11,211.89,208.92,209.22,42296300,67.82679077296639,205.423,203.7784002,0,Sell
2025-07-16,210.16,212.39999,208.64,210.3,47490500,67.55102040816323,206.01,203.8746,0,Sell
2025-07-17,210.02,211.8,209.59,210.57001,48068100,68.72923588039869,206.729,204.0972,0,Sell
2025-07-18,211.17999,211.78999,209.7,210.87,48974600,70.0715302351074,207.4589995,204.3506,0,Sell
2025-07-21,212.48,215.78,211.63,212.10001,51377400,66.33884666964684,208.0329995,204.6752,0,Sell
2025-07-22,214.39999,214.95,212.23,213.14,46404100,65.20329501228744,208.677999,205.0133996,0,Sell
2025-07-23,214.14999,215.14999,212.41,215.0,46989300,54.95075561711386,209.3704985,205.3257994,0,Sell
2025-07-24,213.75999,215.69,213.53,213.89999,46022600,50.63441125946293,209.980498,205.3851994,0,Sell
2025-07-25,213.88,215.24001,213.39999,214.7,40268800,65.03442999234892,210.624498,205.4041996,0,Sell
2025-07-28,214.05,214.85001,213.06,214.03,37858000,65.32627820464484,211.272998,205.4385996,0,Sell
2025-07-29,211.27,214.81,210.82001,214.17999,51411700,50.43830074173981,211.577998,205.4349996,0,Sell
2025-07-30,209.05,212.39,207.72,211.89999,45512500,39.353612167300426,211.6394975,205.3907998,0,Sell
2025-07-31,207.57001,209.84,207.16,208.49001,80698400,38.78828156669681,211.395998,205.3666,0,Sell
2025-08-01,202.38,213.58,201.5,210.87,104434500,33.27974276527331,210.837498,205.277,0,Sell
2025-08-04,203.35001,207.88,201.67999,204.50999,75109300,34.95301204126851,210.5074985,205.3022002,0,Sell
2025-08-05,202.92,205.34,202.16,203.39999,44106200,30.453584823342556,210.152999,205.3334002,0,Sell
2025-08-06,214.31,214.99,205.59,205.63,6429060,57.20523533407096,210.311499,205.7142002,0,Sell
